OID_,정비유형,활용유형,위치,Latitude,Longitude,비고,F7,NEAR_FID_hospital,NEAR_DIST_hospital(m),NEAR_FID_school,NEAR_DIST_school(m),NEAR_FID_industry,NEAR_DIST_industry(m)
1,철거 후 활용,기타,경상북도 경주시 충효동 1221-0,35.8520569,129.1640115,-,,136,513.3123347,318,479.4116172,717,3139.095229
2,철거 후 활용,기타,경상북도 경주시 건천읍 천포리 705-0,35.8443675,129.0923278,-,,147,3021.437831,761,176.4483371,1723,2586.470287
3,철거 후 활용,기타,경상북도 경주시 외동읍 연안리 792-1,35.727726,129.3159371,-,,116,12600.1832,464,215.4790829,13417,1297.975866
4,철거 후 활용,기타,경상북도 경주시 마동 910-0,35.7790084,129.3086794,-,,116,6890.392601,888,565.0939941,13417,6612.536673
5,철거 후 활용,기타,경상북도 경주시 황남동 245-0,35.8366804,129.2106607,-,,87,628.25547,309,517.5238805,1036,7638.335586
6,철거 후 활용,기타,경상북도 경주시 건천읍 용명리 1722-1,35.8702901,129.096389,-,,30,5204.849226,546,2290.55682,1640,682.6304628
7,철거 후 활용,기타,경상북도 경주시 건천읍 천포리 1024-0,35.8428078,129.0915291,-,,147,2839.478576,761,335.3786494,1723,2771.010007
8,철거 후 활용,기타,경상북도 경주시 건천읍 조전리 437-2,35.8374562,129.101189,-,,147,3079.51148,312,933.4772642,8672,2814.611703
9,철거 후 활용,기타,경상북도 경주시 황남동 253-2,35.8376297,129.2105274,-,,87,524.1675233,309,541.5612993,1036,7599.238124
10,철거 후 활용,기타,경상북도 경주시 안강읍 옥산리 1596-2,36.0169227,129.1586637,-,,59,5157.757794,33,2595.647967,8166,10340.31571
11,철거 후 활용,기타,경상북도 경주시 외동읍 방어리 575-0,35.750176,129.298663,-,,116,9930.95614,371,561.7750784,13417,3466.456367
12,철거 후 활용,기타,경상북도 경주시 서면 사라리 429-0,35.8905329,129.0735643,-,,147,7561.684935,713,1883.941794,4706,2025.044699
13,철거 후 활용,기타,경상북도 경주시 문무대왕면 송전리 80-3,35.7669383,129.4267676,-,,116,14662.82944,903,2555.166324,13244,4878.704489
14,철거 후 활용,기타,경상북도 경주시 용강동 1086-1,35.862553,129.2275096,-,,85,1101.423433,892,516.1258488,7770,6909.808048
15,철거 후 활용,기타,경상북도 경주시 문무대왕면 입천리 304-4,35.7931417,129.4335917,-,,116,13859.85264,903,1242.483379,13435,5270.838678
16,철거 후 활용,기타,경상북도 경주시 산내면 내일리 402-0,35.7520632,129.0735159,-,,147,7809.977434,95,2325.653787,7916,11878.28964
17,철거 후 활용,기타,경상북도 경주시 내남면 이조리 510-0,35.7533295,129.1970548,-,,87,9961.03574,577,228.7069213,5690,4759.795817
18,철거 후 활용,기타,경상북도 경주시 건천읍 천포리 1025-0,35.8427318,129.0913746,-,,147,2824.328039,761,351.2259319,1723,2785.651285
